indicator_name,description,source_name
تعداد مطلوب فرزند,ترجیح افراد و زوجین درباره تعداد فرزندان در زندگی، در قالب میانگینی از تعداد مطلوب فرزند خلاصه می‌شود. این شاخص به صورت پیمایشی به دست می‌آید و اهمیت آن در این است که تصویری از مطلوبیت‌های باروری در جامعه ارائه می‌دهد و می‌تواند فاصلۀ میان خواسته‌ها و رفتار واقعی فرزندآوری را آشکار کند.,پیمایش ارزش‌ها و نگرش‌ها
تعداد موالید,این شاخص بیانگر کل تعداد نوزادان متولد شده در یک بازه زمانی مشخص است. اهمیت این عدد در پیش‌بینی نیازهای آموزشی، بهداشتی و رفاهی آینده کشور است. تحلیل تغییرات این آمار می‌تواند به ما کمک می‌کند تا بفهمیم روندهای ساختاری و بزرگی جمعیت کشور چه روندهایی را طی کرده است.,سازمان ثبت احوال
میانگین سن فرزندآوری,میانگین سن فرزندآوری بیانگر متوسط سنی است که زنان فرزند اول خود را به دنیا می‌آورند. این شاخص نشان می‌دهد الگوی زمانی فرزندآوری در جامعه به چه سمتی حرکت می‌کند. اهمیت آن در این است که تغییرات سن فرزندآوری می‌تواند بر سطح باروری، سلامت مادر و کودک و نیز برنامه‌ریزی‌های جمعیتی و اجتماعی اثرگذار باشد.,مرکز آمار
میزان باروری کل,شاخص نرخ باروری، نماگری از روندهای فرزندآوری فعلی است و نشان‌دهنده‌ی این است که اگر روندهای فعلی ثابت باشند، هر زن در طول دوره‌ی باروری خود به‌طور متوسط چند فرزند زنده به دنیا خواهد آورد. از آنجایی که این شاخص به‌طور سالیانه محاسبه می‌شود، مقطعی است و نمی‌تواند باروری واقعی یک نسل را نشان دهد.,مرکز آمار
امید به آینده اقتصادی,در این شاخص، ارزیابی شهروندان از آینده اقتصادی کشور در افق پنج‌ساله، بر اساس نمره‌ای از صفر تا صد بیان می‌شود؛ نمره صفر نشان‌دهنده بدبینانه‌ترین و نمره صد خوش‌بینانه‌ترین پیش‌بینی است. این نگرش، بازتاب‌دهنده سطح امیدواری اجتماعی است که مستقیماً بر تصمیمات مالی و رفتارهای فرهنگی مردم در زمان حال اثر می‌گذارد.,پیمایش سرمایه اجتماعی (وزارت کشور)
نگرش به اشتغال زنان,میزان پذیرش یا مخالفت با اشتغال زنان در بیرون از خانه، در قالب نمره‌ای بین صفر تا صد بیان می‌شود؛ نمره‌ای که از موافقت کامل (100) تا مخالفت شدید (صفر) را پوشش می‌دهد. این عدد، تصویری از تحولات فرهنگی در پذیرش نقش اقتصادی زنان و تغییر باورها در لایه‌های مختلف جامعه را نمایش می‌دهد.,پیمایش ارزش‌ها و نگرش‌ها
نگرش به دریافت مالیات,این شاخص پیمایشی با پرسش درباره عادلانه بودن نظام مالیاتی محاسبه شده و نمره‌ای بین صفر تا ۱۰۰ دارد. نمره صفر بیانگر منفی‌ترین و نمره ۱۰۰ نشان‌دهنده مثبت‌ترین نگرش شهروندان به این موضوع است. این معیار، سطح اعتماد متقابل میان مردم و دولت و میزان پذیرش مسئولیت‌های مدنی در فرهنگ اقتصادی را نشان می‌دهد.,پیمایش ارزش‌ها و نگرش‌ها
شکاف تملک مسکن,این شاخص از تقسیم میانگین قیمت یک واحد مسکونی معمولی (80 متری) بر متوسط درآمد سالانه خانوار شهری محاسبه می‌شود. این عدد نشان می‌دهد که یک خانواده با فرض ذخیره تمام درآمد خود، چند سال زمان برای خانه‌دار شدن نیاز دارد. این معیار یکی از کلیدی‌ترین شاخص‌های سنجش رفاه و دسترسی به مسکن در طبقات مختلف جامعه است.,مرکز آمار
توازن بودجه‌ای روستایی,این شاخص از تقسیم کل هزینه‌های سالانه بر مجموع درآمدهای خانوار به دست می‌آید و تراز مالی زندگی را نشان می‌دهد. اگر این نسبت نزدیک به یک یا فراتر از آن باشد، به معنای ناتوانی در پس‌انداز و فشار اقتصادی است. این معیار، پایداری اقتصادی خانواده و میزان امنیت مالی آن‌ها را در برابر مخارج پیش‌بینی‌نشده ارزیابی می‌کند.,مرکز آمار
توازن بودجه‌ای شهری,این شاخص از تقسیم کل هزینه‌های سالانه بر مجموع درآمدهای خانوار به دست می‌آید و تراز مالی زندگی را نشان می‌دهد. اگر این نسبت نزدیک به یک یا فراتر از آن باشد، به معنای ناتوانی در پس‌انداز و فشار اقتصادی است. این معیار، پایداری اقتصادی خانواده و میزان امنیت مالی آن‌ها را در برابر مخارج پیش‌بینی‌نشده ارزیابی می‌کند.,مرکز آمار
متوسط درآمد روستایی,این شاخص مجموع عایدی‌های نقدی و غیرنقدی تمامی اعضای خانوار را در طول یک سال نشان می‌دهد و با واحد ریال بیان می‌شود. اهمیت آن در سنجش قدرت مالی خانواده برای تأمین نیازهای زندگی و ارتقای رفاه است. نوسانات این عدد، تصویری رسمی از توان اقتصادی خانوار در مقابله با مخارج جاری و میزان ثبات معیشتی در فرهنگ اقتصادی جامعه ارائه می‌دهد.,مرکز آمار
متوسط درآمد شهری,این شاخص مجموع عایدی‌های نقدی و غیرنقدی تمامی اعضای خانوار را در طول یک سال نشان می‌دهد و با واحد ریال بیان می‌شود. اهمیت آن در سنجش قدرت مالی خانواده برای تأمین نیازهای زندگی و ارتقای رفاه است. نوسانات این عدد، تصویری رسمی از توان اقتصادی خانوار در مقابله با مخارج جاری و میزان ثبات معیشتی در فرهنگ اقتصادی جامعه ارائه می‌دهد.,مرکز آمار
ضریب جینی روستایی,شاخص «ضریب جینی» میزان نابرابری در توزیع درآمد یا ثروت در یک جامعه را نشان می‌دهد. این شاخص عددی بین صفر تا یک است؛ هرچه به صفر نزدیک‌تر باشد، توزیع درآمد عادلانه‌تر و هرچه به یک نزدیک‌تر باشد، نابرابری بیشتر است. ضریب جینی یکی از مهم‌ترین ابزارها برای سنجش عدالت اجتماعی است و به سیاست‌گذاران کمک می‌کند تصویر روشنی از شکاف اقتصادی و وضعیت توزیع منابع در جامعه به دست آورند.,مرکز آمار
ضریب جینی شهری,شاخص «ضریب جینی» میزان نابرابری در توزیع درآمد یا ثروت در یک جامعه را نشان می‌دهد. این شاخص عددی بین صفر تا یک است؛ هرچه به صفر نزدیک‌تر باشد، توزیع درآمد عادلانه‌تر و هرچه به یک نزدیک‌تر باشد، نابرابری بیشتر است. ضریب جینی یکی از مهم‌ترین ابزارها برای سنجش عدالت اجتماعی است و به سیاست‌گذاران کمک می‌کند تصویر روشنی از شکاف اقتصادی و وضعیت توزیع منابع در جامعه به دست آورند.,مرکز آمار
کمبود موجودی مسکن,شاخص کمبود موجودی مسکن تعداد خانوارها را به ازای هر واحد مسکونی نشان می‌دهد. این شاخص اهمیت زیادی دارد، زیرا تراکم بالای خانوارها در یک خانه می‌تواند نشانه کمبود مسکن، فشار اقتصادی و نابرابری در دسترسی به زیرساخت‌های پایه باشد و بر رفاه، حریم خصوصی و کیفیت زندگی خانواده‌ها تأثیر مستقیم بگذارد.,مرکز آمار
متوسط متراژ مسکن,یافتن نقطه میانه در متراژ خانه‌های موجود، به طوری که نیمی از خانواده‌ها در فضایی بزرگ‌تر و نیمی در فضایی کوچک‌تر از آن زندگی کنند، منطق اصلی این محاسبات است. این شاخص تصویر واقعی‌تری از الگوی سکونت عمومی جامعه (فارغ از خانه‌های بسیار لوکس یا بسیار کوچک) ارائه می‌دهد و مستقیماً با استانداردهای رفاه و کیفیت زیست خانوادگی مرتبط است.,مرکز آمار
میانگین قیمت مسکن,ارزیابی ارزش تومانی سرپناه در این بخش، از طریق محاسبه متوسط قیمت خرید و فروش یک متر مربع زیربنای مسکونی بر حسب هزار ریال انجام می‌شود. این عدد اقتصادی، بازتاب‌دهنده سطح تورم ملکی و تحولات بازار مسکن در مناطق مختلف است و به عنوان یک معیار کلیدی، میزان توانمندی یا محرومیت خانواده‌ها را در دسترسی به یکی از اساسی‌ترین نیازهای معیشتی نشان می‌دهد.,مرکز آمار
سرانه حضور در سینما,شاخص «سرانه حضور در سینما» نشان می‌دهد به طور متوسط چند نفر از هر هزار نفر جمعیت در یک بازه زمانی مشخص به تماشای فیلم در سینما می‌روند. این شاخص تصویری از میزان مشارکت مردم در فعالیت‌های فرهنگی و سرگرمی ارائه می‌دهد و می‌تواند رفتارهای فرهنگی، گرایش به تفریح جمعی و اولویت‌های زمانی مردم در استفاده از اوقات فراغت را روشن کند.,وزارت فرهنگ و ارشاد اسلامی
ضریب نفوذ تلویزیون ایران,ضریب نفوذ تلویزیون تصویر روشنی از حضور رسانه ملی در زندگی روزمره ارائه می‌دهد و نشان می‌دهد تلویزیون چقدر در شکل‌دهی سرگرمی، اطلاع‌رسانی و پر کردن اوقات فراغت مردم نقش دارد. این داده بیانگر نسبت جمعیت دارای دسترسی و تماشای شبکه‌های تلویزیونی داخلی است. البته تماشای تلویزیون می‌تواند با تماشای ماهواره و نمایش خانگی و ... تداخل داشته باشد. بنابراین به معنای تنها رسانه‌ی مردم نیست.,پیمایش مصرف کالاهای فرهنگی (وزارت فرهنگ و ارشاد اسلامی)
ضریب نفوذ ماهواره,نسبت جمعیت دارای دسترسی و تماشای رسانه‌های ماهواره‌ای، ضریب نفوذ ماهواره را مشخص می‌کند. این شاخص نشان می‌دهد تلویزیون‌های خارجی و شبکه‌های ماهواره‌ای، زندگیِ روزمره‌ی چه سهمی از مردم را پوشش می‌دهند و تا چه حد در سرگرمی، اطلاع‌رسانی و انتخاب محتوای فرهنگی آن‌ها نقش دارند.,پیمایش مصرف کالاهای فرهنگی (وزارت فرهنگ و ارشاد اسلامی)
نرخ استفاده از صندلی سینما,این شاخص از تقسیم تعداد بلیت‌های فروخته‌شده به ظرفیت کل صندلی‌های سینما در یک بازه زمانی مشخص به‌دست می‌آید. از این طریق میزان بهره‌مندی مردم از امکانات سینمایی و گرایش آن‌ها به حضور در فعالیت‌های فرهنگی جمعی را منعکس می‌کند و تصویری از پر بودن سالن‌ها و محبوبیت سینما در بین مردم ارائه می‌دهد.,وزارت فرهنگ و ارشاد اسلامی
نرخ عضویت در کتابخانه,نرخ عضویت در کتابخانه سهم افرادی را نشان می‌دهد که در کتابخانه‌های عمومی ثبت‌نام کرده و امکان استفاده از منابع کتابخانه‌ای را دارند. این شاخص بازتابی از میزان دسترسی و علاقه مردم به مطالعه و فعالیت‌های فرهنگی مرتبط با کتاب است و تصویر روشنی از مشارکت جامعه در فعالیت‌های کتاب‌محور و ترویج فرهنگ کتابخوانی ارائه می‌دهد,وزارت فرهنگ و ارشاد اسلامی
سرانه مطالعه کتاب,مطالعه کتاب به‌عنوان نماگری از سطح گرایش فرهنگی، سبک گذران اوقات فراغت و جایگاه کتاب در زندگی روزمره اهمیت زیادی دارد. این شاخص نشان‌دهنده متوسط زمانی است که هر فرد در طول یک هفته به مطالعه غیردرسی می‌پردازد.,پیمایش مصرف کالاهای فرهنگی (وزارت فرهنگ و ارشاد اسلامی)
سرانه مطالعه روزنامه,مطالعه روزنامه به‌عنوان نماگری از سطح گرایش فرهنگی، سبک گذران اوقات فراغت و جایگاه روزنامه در زندگی روزمره اهمیت زیادی دارد. این شاخص نشان‌دهنده متوسط زمانی است که هر فرد در طول یک هفته به مطالعه روزنامه می‌پردازد.,پیمایش مصرف کالاهای فرهنگی (وزارت فرهنگ و ارشاد اسلامی)
سرانه مصرف موسیقی,سرانه زمان مصرف موسیقی در هفته میانگین مدت زمانی را نشان می‌دهد که افراد در طول یک هفته به شنیدن موسیقی اختصاص می‌دهند. این شاخص به دقیقه بیان شده و نمایانگر نقش موسیقی در زندگی روزمره و اوقات فراغت افراد است و می‌تواند الگوهای سلیقه فرهنگی، میزان گرایش به سرگرمی‌های شنیداری و جایگاه موسیقی در سبک زندگی جامعه را نشان دهد.,مرکز آمار
سرانه تماشای تئاتر,سرانه تماشای تئاتر شاخصی است که از تقسیم تعداد کل تماشاگران سالن‌های تئاتر در یک سال بر جمعیت در میانه‌ی همان سال به دست می‌آید. اینکه به طور متوسط از هر 1000 نفر چند فرد در یک سال تماشاگرِ تئاتر بوده‌اند، تصویری از میزان مشارکت در هنرهای نمایشی و گرایش به تجربه‌های فرهنگی زنده ارائه می‌دهد. افزایش آن معمولاً بیانگر پررنگ‌تر شدن نقش هنرهای نمایشی در اوقات فراغت و زندگی فرهنگی جامعه است.,وزارت فرهنگ و ارشاد اسلامی
تعداد نمایشگاه هنر تجسمی,تعداد نمایشگاه‌های هنرهای تجسمی در یک سال بیانگر میزان برگزاری رویدادهای هنری مرتبط با نقاشی، مجسمه‌سازی، عکاسی و سایر شاخه‌های هنرهای تجسمی است. این شاخص تصویری از فرصت‌های دسترسی مردم به آثار هنری و فعالیت‌های فرهنگی ارائه می‌دهد و نشان می‌دهد تا چه حد هنرهای تجسمی در زندگی فرهنگی و خلاقانه جامعه حضور دارند.,وزارت فرهنگ و ارشاد اسلامی
تعداد اجراهای موسیقی,این شاخص فرصت‌های دسترسی مردم به تجربه‌های موسیقایی را منعکس می‌کند و تصویری از نقش موسیقی در سرگرمی، فرهنگ و زندگی روزمره جامعه ارائه می‌دهد. تعداد اجراهای موسیقی همچنین می‌تواند میزان گرایش مردم به حضور در فعالیت‌های هنری جمعی را نشان دهد.,وزارت فرهنگ و ارشاد اسلامی
متوسط هزینه‌های فرهنگی,متوسط هزینه‌های فرهنگی خانوار  (به ریال) در یک سال نشان می‌دهد یک خانوار به طور میانگین چه مبلغی را صرف فعالیت‌ها و کالاهای فرهنگی و تفریحی می‌کند. این شاخص بازتابی از سطح مشارکت خانوارها در فعالیت‌های فرهنگی و هنری و گرایش آن‌ها به سرگرمی و گذران اوقات فراغت ارائه می‌دهد و تصویر کلی از اهمیت فرهنگ و هنر در زندگی روزمره مردم را نشان می‌دهد.,مرکز آمار
تعداد انتشار کتاب,رونق یا رکود فعالیت‌های نشر، در تعداد عناوین کتاب‌های منتشرشده طی یک سال نمایان می‌شود و تصویری از جریان تولید محتوای مکتوب ارائه می‌دهد. افزایش انتشار کتاب معمولاً به معنای تنوع بیشتر محتوای قابل دسترس برای مخاطبان و تقویت جریان مطالعه و استفاده از محصولات فرهنگی است. به همین دلیل، این شاخص علاوه بر بازتاب وضعیت نشر، می‌تواند نشانه‌ای از پویایی مصرف فرهنگی و میزان توجه جامعه به کتاب و محتوای مکتوب نیز باشد.,مرکز آمار
مشارکت در کانون فرهنگی,شاخص مشارکت در کانون فرهنگی نشان می‌دهد هر کانون فرهنگی هنری مساجد به طور متوسط چه تعداد عضو یا مخاطب فعال دارد. این شاخص از نسبت تعداد اعضای کانون‌ها به تعداد کل کانون‌های فرهنگی هنری به دست می‌آید و میزان جذب و درگیری افراد در فعالیت‌های فرهنگی و هنری را بازتاب می‌دهد. هرچه مقدار این شاخص بالاتر باشد، بیانگر موفقیت بیشتر کانون‌ها در جذب و نگهداشت مشارکت فرهنگی مردم و استفاده فعال‌تر از ظرفیت اوقات فراغت در بستر فعالیت‌های فرهنگی است.,وزارت فرهنگ و ارشاد اسلامی
سهم هزینه پوشاک,اینکه چه نسبتی  از کل مخارج سالانه خانوار به خرید پوشاک اختصاص پیدا می‌کند، مبنای محاسبه‌ی این شاخص است. سهم هزینه پوشاک تصویری از جایگاه این کالا را در الگوی مصرف خانوار ارائه می‌دهد و می‌تواند بیانگر میزان توجه به ظاهر، مد و نیازهای پوشاک در کنار سایر اولویت‌های هزینه‌ای باشد. تغییرات آن همچنین بازتابی از رفتار مصرفی و سبک زندگی اقتصادی–فرهنگی خانوارها در حوزه مد و پوشاک است.,مرکز آمار
ارادت به اهل بیت,جایگاه محبت و ارادت به خاندان پیامبر اسلام در باورهای عمومی، از طریق سنجش میزان دلبستگی افراد به ایشان ارزیابی می‌شود. میانگین نهایی شاخص بازه‌ای بین صفر تا صد دارد که هر چه بالاتر باشد، به معنی ریشه‌دار بودن دلبستگی به اهل بیت است که شاخص مهمی در شناخت ریشه‌های دینی در فرهنگ مردم محسوب می‌شود.,پیمایش ارزش‌ها و نگرش‌ها
میزان تقید به نماز,این شاخص به بررسی میزان استمرار و مداومت افراد در نمازگزاری می‌پردازد که از هیچ‌وقت تا همیشه کدگذاری شده است. در نهایت میانگین این شاخص پس از نرمال‌سازی، در بازه‌ی بین صفر تا صد قرار گرفته و هرچه بالاتر باشد، تصویری از عمیق‌تر بودن فرهنگ نمازخوانی را بازتاب می‌دهد.,پیمایش ارزش‌ها و نگرش‌ها
میزان روزه‌داری,شاخص روزه‌داری میزان التزام افراد به انجام فریضه روزه گرفتن را می‌سنجد که از هیچ‌وقت تا همیشه کدگذاری شده است. درنهایت، میانگین این شاخص پس از نرمال‌سازی، در بازه‌ی بین صفر تا صد قرار گرفته است. بالا و پایین بودن میزان این شاخص مشخص می‌سازد که این بخش از مناسک تا حدی در متن زندگی جریان دارد و کشش عمومی برای همراهی با این واجب الهی تا چه سطحی تثبیت شده است.,پیمایش ارزش‌ها و نگرش‌ها
میزان تلاوت قرآن,سنجش میزان قرائت و استمرار افراد در بازخوانی آیات کتاب قرآن شاخص تلاوت قرآن را شکل داده است که در بازه‌ی بین صفر تا صد بازسازی شده است. این آمار نشان می‌دهد که کلام وحی چقدر در زندگی روزمره مردم حضور دارد و میانگین انس با آن در جامعه چقدر است.,پیمایش ارزش‌ها و نگرش‌ها
شرکت در نماز جماعت,این شاخص نشان می‌دهد که شرکت در نماز جمعه که یکی از مهمترین جلوه‌های عبادت جمعی است، تا چه میزان در یک جامعه رواج دارد. خروجی این سنجش به صورت بازه‌ای از صفر تا صد بیان شده است که بالاتر بودن آن به معنای استمرار بیشتر در این امر است.,پیمایش ارزش‌ها و نگرش‌ها
باور به خدا,میزان اتکای قلبی افراد به اراده پروردگار و توکل به او در انجام امور مهم زندگی، هسته اصلی این شاخص را تشکیل می‌دهد. به‌عبارتی این شاخص نشان می‌دهد که باور به خدا چقدر به صورت عملی (یعنی توکل به خدا) در زندگی افراد یک جامعه جاری است. شاخص باور به خدا بازه‌ای بین صفر تا صد دارد.,پیمایش ارزش‌ها و نگرش‌ها
باور به معاد,این شاخص بیانگر میزان پایبندی ذهنی به پدیده حسابرسی اعمال و جاودانگی انسان پس از مرگ در آخرت است. معاد که یکی از پایه‌های اصلی باورهای دینی است، می‌تواند تصویر روشنی از فرهنگ دینی مردم یک جامعه ارائه دهد. میانگین این شاخص پس از تبدیل، در بازه‌ی صفر تا صد قرار گرفته و بالاتر بودن آن به معنی شدت بیشتر در باور به این امر است.,پیمایش ارزش‌ها و نگرش‌ها
هویت دینی,اینکه مردم کدام یک از وجهه‌های هویتی خود (مانند دین، ملیت، قومیت و ...) را در اولویت قرار می‌دهند و خودشان را بیشتر از همه با آن امر پیوندخورده می‌دانند، نمایانگر ریشه‌های فرهنگی و اجتماعی عمیق درمیان آنان است. شاخص هویت دینی سهم کسانی را سنجیده است که اولویت هویتی خود را دین خود می‌دانستند و خود را با آن معرفی می‌کردند. جامعه آماری این شاخص جوانان 18 تا 35 سال بوده است.,پیمایش ارزش‌ها و نگرش‌های جوانان
هویت انقلابی,ترکیب دو پرسش درباره «نقش ولایت فقیه در امنیت و اقتدار کشور» و «تاثیر انقلاب اسلامی در افزایش استقلال در صحنه جهانی»، تشکیل دهنده نمره شاخص هویت انقلابی بوده است. نمره نهایی این سنجش پس از نرمال‌سازی، بین صفر تا صد قرار گرفته که بالاتر بودن آن نمادی از مقبولیت بالا و عمق باور افراد به ارکان حاکمیت دینی است.,پیمایش ارزش‌ها و نگرش‌ها
آرمان آزادی قدس,میزان موافقت و همراهی ذهنی افراد با راهبرد آرمانیِ مبارزه با اسرائیل که نشان‌دهنده پیوند عمیق با جامعه دینی اسلام است، نمره این شاخص را شکل داده است. این معیار با تبدیل پاسخ‌ها به نمره‌ای بین صفر تا صد نشان می‌دهد که رویکرد همبستگی دینی فراملی و روحیه مقاومت در برابر ظلم تا چه حد در اندیشه جامعه جاری است.,پیمایش ارزش‌ها و نگرش‌ها
مرجعیت دینی,داشتن مرجع تقلید که معیار اصلی سنجش این شاخص است، سطح پیوند با جامعه دینی را نشان می‌دهد. بنابراین هر چه این شاخص بالاتر باشد، به این معنی است که تعداد افراد بیشتری خود را با بدنه‌ی مرجعیت دینی پیوند داده‌اند. جامعه آماری این شاخص جوانان 18 تا 35 سال بوده است.,پیمایش ارزش‌ها و نگرش‌های جوانان
مشارکت در عزاداری,شاخص شرکت در مراسم عزاداری میزان مشارکت افراد در آیین‌ها و مراسم مذهبی مرتبط با سوگواری را نشان می‌دهد و بر اساس داده‌های پیمایشی در مقیاس صفر تا ۱۰۰ سنجیده می‌شود. این شاخص بازتابی از حضور و درگیری افراد در مناسک جمعی دینی است و می‌تواند تصویری از پیوندهای مذهبی، مشارکت اجتماعی و جایگاه آیین‌های عزاداری در زندگی فرهنگی و اعتقادی جامعه ارائه دهد.,پیمایش ارزش‌ها و نگرش‌ها
زیارت اماکن متبرکه,میزان حضور و مشارکت افراد در زیارتگاه‌ها و اماکن مذهبی، بازتابی از جایگاه زیارت در رفتارهای دینی و مناسکی جامعه است. مبتنی بر داده‌های پیمایشی در مقیاس صفر تا ۱۰۰ این جایگاه محاسبه شده است. این شاخص بازتابی از پیوند معنوی افراد با فضاهای مذهبی و نقش زیارت در سبک زندگی دینی جامعه است و می‌تواند میزان حضور مناسک مذهبی در اوقات فراغت و تجربه‌های جمعی افراد را منعکس کند.,پیمایش ارزش‌ها و نگرش‌ها
باور به ضرورت حجاب,شاخص باور به ضرورت حجاب میزان موافقت افراد با ضرورت رعایت حجاب برای زنان را نشان می‌دهد و بر پایه پاسخ به این گزاره که «همه خانم‌ها باید حجاب داشته باشند» محاسبه شده است. مقدار این شاخص پس از تبدیل میانگین پاسخ‌ها به مقیاس صفر تا صد، تصویری از نگرش جامعه نسبت به حجاب و جایگاه آن در ارزش‌ها و سبک زندگی دینی ارائه می‌دهد.,پیمایش ارزش‌ها و نگرش‌ها
برخورد با مصادیق غیردینی,میزان آمادگی افراد برای واکنش نشان دادن به رفتارهایی که از دیدگاه آنان با هنجارهای دینی ناسازگار است، موضوع این سنجش را شکل می‌دهد. این شاخص بر اساس نحوه مواجهه با مواردی مانند بی‌حجابی و برگزاری مهمانی مختلط و در مقیاس صفر تا صد محاسبه شده است. مقادیر بالاتر بیانگر گرایش بیشتر به واکنش فعال، تذکر یا اطلاع به مراجع مسئول و مقادیر پایین‌تر نشان‌دهنده بی‌تفاوتی یا واکنش حداقلی در برابر این رفتارهاست.,پیمایش ارزش‌ها و نگرش‌ها
رواج فضائل اخلاقی,شاخص فضائل اخلاقی بازتابی از ارزیابی مردم نسبت به میزان رواج برخی ارزش‌ها و رفتارهای اخلاقی در جامعه است. این شاخص بر پایه نگرش افراد درباره گسترش ویژگی‌هایی مانند بخشش و ازخودگذشتگی، پایبندی به قول و قرار و صبر و تحمل اجتماعی طراحی شده و در مقیاس صفر تا صد محاسبه می‌شود. مقادیر بالاتر نشان‌دهنده برداشت مثبت‌تر مردم از وضعیت اخلاق و روابط اجتماعی سازگار با ارزش‌های دینی در جامعه است.,پیمایش ارزش‌ها و نگرش‌ها
گرایش هزینه‌ای مذهبی,اینکه چه سهمی از هزینه‌های فرهنگی خانوار به فعالیت‌ها و اقلام مرتبط با امور مذهبی، از جمله خمس و زکات و نذر و فطریه و ...، اختصاص پیدا می‌کند، مبنای این شاخص است. درواقع گرایش هزینه‌ای مذهبی نماگری از اولویت‌ها و ترجیحات فرهنگی خانوارهاست و می‌تواند میزان توجه به مناسک، فعالیت‌ها و سبک زندگی دینی را در الگوی مصرف فرهنگی جامعه نشان دهد.,مرکز آمار
میزان تورم کل شهری,نوسانات سطح قیمت کالاها و خدمات مصرفی در مناطق شهری، تصویری از روند تورم و تغییر هزینه‌های زندگی شهری در طول زمان ارائه می‌کند. این شاخص نشان می‌دهد هزینه زندگی شهری تا چه اندازه افزایش یا کاهش یافته و یکی از مهم‌ترین معیارهای سنجش قدرت خرید خانوارها به شمار می‌رود. تغییرات آن می‌تواند بر الگوی مصرف، رفاه اقتصادی و توان خانوارها در تأمین نیازهای روزمره تأثیرگذار باشد.,مرکز آمار
سهم وام دریافتی,سهم افرادی که طی یک سال از تسهیلات و وام‌های مالی استفاده کرده‌اند، تصویری از میزان بهره‌گیری جامعه از منابع اعتباری ارائه می‌کند. این شاخص تصویری از میزان استفاده مردم از ابزارهای اعتباری و مالی برای تأمین نیازهای اقتصادی، سرمایه‌گذاری یا جبران کمبود منابع مالی ارائه می‌دهد. تغییرات آن می‌تواند بازتابی از دسترسی به منابع مالی، رفتارهای اقتصادی خانوارها و نقش اعتبار در معیشت و فعالیت‌های اقتصادی جامعه باشد. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
گرایش به ریاضی فیزیک,گرایش به ریاضی فیزیک با استفاده از نسبت افرادی که در رشته‌ی ریاضی و فیزیک فارغ‌التحصیل شده‌اند تقسیم بر کل فارغ‌التحصیلان محاسبه شده است. این شاخص نماگر خوبی برای جهت‌گیری آموزشی دانش‌آموزان و خانواده‌هایشان است و می‌تواند روندهای فعلی و آینده‌ی آموزش و بازار کار را بازتاب دهد.,وزارت آموزش و پرورش
گرایش به علوم انسانی,گرایش به علوم انسانی با استفاده از نسبت افرادی که در رشته‌ی علوم انسانی فارغ‌التحصیل شده‌اند تقسیم بر کل فارغ‌التحصیلان محاسبه شده است. این شاخص نماگر خوبی برای جهت‌گیری آموزشی دانش‌آموزان و خانواده‌هایشان است و می‌تواند روندهای فعلی و آینده‌ی آموزش و بازار کار را بازتاب دهد.,وزارت آموزش و پرورش
گرایش به علوم تجربی,گرایش به علوم تجربی با استفاده از نسبت افرادی که در رشته‌ی علوم تجربی فارغ‌التحصیل شده‌اند تقسیم بر کل فارغ‌التحصیلان محاسبه شده است. این شاخص نماگر خوبی برای جهت‌گیری آموزشی دانش‌آموزان و خانواده‌هایشان است و می‌تواند روندهای فعلی و آینده‌ی آموزش و بازار کار را بازتاب دهد.,وزارت آموزش و پرورش
گرایش به رشته‌های فنی,گرایش به رشته‌های فنی نشان‌دهنده سهم دانش‌آموختگان شاخه‌های فنی‌وحرفه‌ای و کاردانش از کل فارغ‌التحصیلان دوره متوسطه دوم است و از تقسیم تعداد فارغ‌التحصیلان این شاخه‌ها بر کل فارغ‌التحصیلان متوسطه دوم محاسبه می‌شود. این شاخص بیانگر جهت‌گیری آموزشی جامعه به سوی مهارت‌آموزی، آمادگی برای ورود به بازار کار و توسعه سرمایه انسانی مهارت‌محور بوده و از منظر فرهنگی و اجتماعی، بازتاب‌دهنده ارزش و منزلت اجتماعی آموزش‌های فنی و نگرش جامعه به اشتغال، تولید و مهارت‌های کاربردی است.,وزارت آموزش و پرورش
نسبت دانشجو به استاد,نسبت تعداد دانشجویان به استادان یا اعضای هیئت علمی، میانگین تعداد دانشجویانی را مشخص می‌کند که هر عضو هیئت علمی مسئول پوشش آموزشی آنان است. این نسبت برای بررسی وضعیت ظرفیت آموزشی و میزان دسترسی دانشجویان به منابع انسانی آموزش عالی کاربرد دارد.,وزارت علوم، تحقیقات و فناوری
نسبت دانش‌آموز به معلم ابتدایی,این شاخص حاصل تقسیم تعداد دانش‌آموزان بر تعداد معلمان در یک مقطع یا منطقه آموزشی است و متوسط تعداد دانش‌آموزانی را که هر معلم مسئول آموزش آن‌هاست، نشان می‌دهد. این نسبت برای ارزیابی ظرفیت نیروی انسانی آموزش، وضعیت کلاس‌های درس و میزان دسترسی دانش‌آموزان به خدمات آموزشی مورد استفاده قرار می‌گیرد.,وزارت آموزش و پرورش
