subtopic_name,topic_name,province_name,subtopic_score
سبک زندگی دینی,معنویت و ارزش‌های دینی,خراسان شمالی,21.556866
تشکیل خانواده,زندگی خانوادگی,خراسان شمالی,23.034586
فرزندآوری,زندگی خانوادگی,خراسان شمالی,49.647255
روابط خانوادگی,زندگی خانوادگی,خراسان شمالی,5.174119
پایداری خانواده,زندگی خانوادگی,خراسان شمالی,33.038532
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,خراسان شمالی,18.08918
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,خراسان شمالی,29.079702
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,خراسان شمالی,18.362495
مد و فراغت,مصرف فرهنگی و رسانه‌ای,خراسان شمالی,3.889663
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,خراسان شمالی,13.914779
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,خراسان شمالی,44.778831
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,خراسان شمالی,48.718517
تعلق ملی,همبستگی و سرمایه اجتماعی,خراسان شمالی,41.857594
عدالت آموزشی,دانش و سرمایه انسانی,خراسان شمالی,20.773233
فراگیری آموزش,دانش و سرمایه انسانی,خراسان شمالی,11.686083
کیفیت آموزشی,دانش و سرمایه انسانی,خراسان شمالی,10.283927
الگوی مصرف,معیشت و فرهنگ اقتصادی,خراسان شمالی,25.234058
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,خراسان شمالی,22.438961
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,خراسان شمالی,1.1456212
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,خراسان شمالی,12.43807
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,خراسان شمالی,20.635714
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,خراسان شمالی,5.4883471
حمایت اجتماعی,رفاه و عدالت اجتماعی,خراسان شمالی,17.089161
زیرساخت آموزشی,رفاه و عدالت اجتماعی,خراسان شمالی,52.153904
سلامت و بهداشت,رفاه و عدالت اجتماعی,خراسان شمالی,30.507648
مسکن و سرپناه,رفاه و عدالت اجتماعی,خراسان شمالی,.015653512
جرم و ناامنی,مسائل اجتماعی,خراسان شمالی,12.874348
سلامت اجتماعی,مسائل اجتماعی,خراسان شمالی,6.3099942
سبک زندگی و مصرف,مسائل اجتماعی,خراسان شمالی,25.298159
باورها و رفتارهای فرهنگی,مسائل اجتماعی,خراسان شمالی,21.946514
روابط و امنیت اجتماعی,مسائل اجتماعی,خراسان شمالی,18.135654
باور دینی,معنویت و ارزش‌های دینی,خوزستان,2.5393891
عمل دینی,معنویت و ارزش‌های دینی,خوزستان,17.230022
هویت و پیوند دینی,معنویت و ارزش‌های دینی,خوزستان,13.250974
مشارکت مذهبی,معنویت و ارزش‌های دینی,خوزستان,38.506191
سبک زندگی دینی,معنویت و ارزش‌های دینی,خوزستان,27.128059
تشکیل خانواده,زندگی خانوادگی,خوزستان,28.269505
فرزندآوری,زندگی خانوادگی,خوزستان,43.94437
روابط خانوادگی,زندگی خانوادگی,خوزستان,3.466615
پایداری خانواده,زندگی خانوادگی,خوزستان,8.8133783
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,خوزستان,10.149715
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,خوزستان,9.8053627
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,خوزستان,8.9259872
مد و فراغت,مصرف فرهنگی و رسانه‌ای,خوزستان,20.704212
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,خوزستان,29.797396
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,خوزستان,31.290714
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,خوزستان,8.2147141
تعلق ملی,همبستگی و سرمایه اجتماعی,خوزستان,31.480072
عدالت آموزشی,دانش و سرمایه انسانی,خوزستان,5.9167113
فراگیری آموزش,دانش و سرمایه انسانی,خوزستان,11.423586
کیفیت آموزشی,دانش و سرمایه انسانی,خوزستان,6.7915087
الگوی مصرف,معیشت و فرهنگ اقتصادی,خوزستان,3.876148
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,خوزستان,4.2567949
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,خوزستان,29.657782
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,خوزستان,2.7609792
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,خوزستان,37.495556
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,خوزستان,7.3209376
حمایت اجتماعی,رفاه و عدالت اجتماعی,خوزستان,33.831112
زیرساخت آموزشی,رفاه و عدالت اجتماعی,خوزستان,.59619552
سلامت و بهداشت,رفاه و عدالت اجتماعی,خوزستان,21.985802
مسکن و سرپناه,رفاه و عدالت اجتماعی,خوزستان,38.710941
جرم و ناامنی,مسائل اجتماعی,خوزستان,55.334637
سلامت اجتماعی,مسائل اجتماعی,خوزستان,.64186931
سبک زندگی و مصرف,مسائل اجتماعی,خوزستان,.97041172
باورها و رفتارهای فرهنگی,مسائل اجتماعی,خوزستان,2.2828491
روابط و امنیت اجتماعی,مسائل اجتماعی,خوزستان,6.7369967
باور دینی,معنویت و ارزش‌های دینی,زنجان,44.607738
عمل دینی,معنویت و ارزش‌های دینی,زنجان,57.023163
هویت و پیوند دینی,معنویت و ارزش‌های دینی,زنجان,35.523659
مشارکت مذهبی,معنویت و ارزش‌های دینی,زنجان,1.0407169
سبک زندگی دینی,معنویت و ارزش‌های دینی,زنجان,62.318211
تشکیل خانواده,زندگی خانوادگی,زنجان,24.804813
فرزندآوری,زندگی خانوادگی,زنجان,27.026194
روابط خانوادگی,زندگی خانوادگی,زنجان,41.77356
پایداری خانواده,زندگی خانوادگی,زنجان,27.694538
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,زنجان,23.276043
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,زنجان,58.065334
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,زنجان,15.797369
مد و فراغت,مصرف فرهنگی و رسانه‌ای,زنجان,20.036654
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,زنجان,21.680429
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,زنجان,32.281746
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,زنجان,29.842516
تعلق ملی,همبستگی و سرمایه اجتماعی,زنجان,25.249083
عدالت آموزشی,دانش و سرمایه انسانی,زنجان,4.0183129
فراگیری آموزش,دانش و سرمایه انسانی,زنجان,43.512783
کیفیت آموزشی,دانش و سرمایه انسانی,زنجان,55.236969
الگوی مصرف,معیشت و فرهنگ اقتصادی,زنجان,18.346779
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,زنجان,24.912073
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,زنجان,19.824572
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,زنجان,.64460981
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,زنجان,4.1913381
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,زنجان,34.172188
حمایت اجتماعی,رفاه و عدالت اجتماعی,زنجان,18.64715
زیرساخت آموزشی,رفاه و عدالت اجتماعی,زنجان,71.25666
سلامت و بهداشت,رفاه و عدالت اجتماعی,زنجان,19.279825
مسکن و سرپناه,رفاه و عدالت اجتماعی,زنجان,36.544197
جرم و ناامنی,مسائل اجتماعی,زنجان,42.422291
سلامت اجتماعی,مسائل اجتماعی,زنجان,2.6608584
سبک زندگی و مصرف,مسائل اجتماعی,زنجان,46.621593
باورها و رفتارهای فرهنگی,مسائل اجتماعی,زنجان,.14748521
روابط و امنیت اجتماعی,مسائل اجتماعی,زنجان,13.477448
باور دینی,معنویت و ارزش‌های دینی,سمنان,15.255783
عمل دینی,معنویت و ارزش‌های دینی,سمنان,45.452942
هویت و پیوند دینی,معنویت و ارزش‌های دینی,سمنان,21.088839
مشارکت مذهبی,معنویت و ارزش‌های دینی,سمنان,13.171588
سبک زندگی دینی,معنویت و ارزش‌های دینی,سمنان,46.168922
تشکیل خانواده,زندگی خانوادگی,سمنان,8.2815647
فرزندآوری,زندگی خانوادگی,سمنان,23.027292
روابط خانوادگی,زندگی خانوادگی,سمنان,13.5402
پایداری خانواده,زندگی خانوادگی,سمنان,52.583118
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,سمنان,9.5610132
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,سمنان,18.552824
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,سمنان,44.663494
مد و فراغت,مصرف فرهنگی و رسانه‌ای,سمنان,4.1270623
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,سمنان,43.333084
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,سمنان,44.673553
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,سمنان,25.00411
تعلق ملی,همبستگی و سرمایه اجتماعی,سمنان,4.3737516
عدالت آموزشی,دانش و سرمایه انسانی,سمنان,8.1526136
فراگیری آموزش,دانش و سرمایه انسانی,سمنان,34.82848
کیفیت آموزشی,دانش و سرمایه انسانی,سمنان,10.902655
الگوی مصرف,معیشت و فرهنگ اقتصادی,سمنان,10.455781
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,سمنان,4.2968912
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,سمنان,17.417423
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,سمنان,4.9436998
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,سمنان,62.314259
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,سمنان,29.550552
حمایت اجتماعی,رفاه و عدالت اجتماعی,سمنان,11.105574
زیرساخت آموزشی,رفاه و عدالت اجتماعی,سمنان,8.6855402
سلامت و بهداشت,رفاه و عدالت اجتماعی,سمنان,5.3283978
مسکن و سرپناه,رفاه و عدالت اجتماعی,سمنان,34.135048
جرم و ناامنی,مسائل اجتماعی,سمنان,7.9554305
سلامت اجتماعی,مسائل اجتماعی,سمنان,30.100536
سبک زندگی و مصرف,مسائل اجتماعی,سمنان,25.05307
باورها و رفتارهای فرهنگی,مسائل اجتماعی,سمنان,42.384548
روابط و امنیت اجتماعی,مسائل اجتماعی,سمنان,8.9180803
باور دینی,معنویت و ارزش‌های دینی,سیستان و بلوچستان,3.0364182
عمل دینی,معنویت و ارزش‌های دینی,سیستان و بلوچستان,66.161232
هویت و پیوند دینی,معنویت و ارزش‌های دینی,سیستان و بلوچستان,50.170174
مشارکت مذهبی,معنویت و ارزش‌های دینی,سیستان و بلوچستان,22.612175
سبک زندگی دینی,معنویت و ارزش‌های دینی,سیستان و بلوچستان,70.189568
تشکیل خانواده,زندگی خانوادگی,سیستان و بلوچستان,27.552635
فرزندآوری,زندگی خانوادگی,سیستان و بلوچستان,47.212585
روابط خانوادگی,زندگی خانوادگی,سیستان و بلوچستان,15.840395
پایداری خانواده,زندگی خانوادگی,سیستان و بلوچستان,72.620506
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,سیستان و بلوچستان,9.3143654
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,سیستان و بلوچستان,1.5560948
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,سیستان و بلوچستان,17.614391
مد و فراغت,مصرف فرهنگی و رسانه‌ای,سیستان و بلوچستان,7.6806827
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,سیستان و بلوچستان,12.899935
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,سیستان و بلوچستان,30.81102
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,سیستان و بلوچستان,4.3004355
تعلق ملی,همبستگی و سرمایه اجتماعی,سیستان و بلوچستان,31.667208
عدالت آموزشی,دانش و سرمایه انسانی,سیستان و بلوچستان,9.2737579
فراگیری آموزش,دانش و سرمایه انسانی,سیستان و بلوچستان,.52920067
کیفیت آموزشی,دانش و سرمایه انسانی,سیستان و بلوچستان,.96698165
الگوی مصرف,معیشت و فرهنگ اقتصادی,سیستان و بلوچستان,11.291536
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,سیستان و بلوچستان,5.8617568
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,سیستان و بلوچستان,2.0803328
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,سیستان و بلوچستان,5.8254375
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,سیستان و بلوچستان,5.2865281
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,سیستان و بلوچستان,.29763198
حمایت اجتماعی,رفاه و عدالت اجتماعی,سیستان و بلوچستان,24.493341
زیرساخت آموزشی,رفاه و عدالت اجتماعی,سیستان و بلوچستان,21.237009
سلامت و بهداشت,رفاه و عدالت اجتماعی,سیستان و بلوچستان,4.730689
مسکن و سرپناه,رفاه و عدالت اجتماعی,سیستان و بلوچستان,.6234467
جرم و ناامنی,مسائل اجتماعی,سیستان و بلوچستان,1.0122775
سلامت اجتماعی,مسائل اجتماعی,سیستان و بلوچستان,71.027596
سبک زندگی و مصرف,مسائل اجتماعی,سیستان و بلوچستان,29.333954
باورها و رفتارهای فرهنگی,مسائل اجتماعی,سیستان و بلوچستان,16.130522
روابط و امنیت اجتماعی,مسائل اجتماعی,سیستان و بلوچستان,2.2180412
باور دینی,معنویت و ارزش‌های دینی,فارس,6.9478288
عمل دینی,معنویت و ارزش‌های دینی,فارس,6.8563828
هویت و پیوند دینی,معنویت و ارزش‌های دینی,فارس,20.206266
مشارکت مذهبی,معنویت و ارزش‌های دینی,فارس,7.2721281
سبک زندگی دینی,معنویت و ارزش‌های دینی,فارس,5.9113483
تشکیل خانواده,زندگی خانوادگی,فارس,4.5774136
فرزندآوری,زندگی خانوادگی,فارس,2.8707356
روابط خانوادگی,زندگی خانوادگی,فارس,18.340408
پایداری خانواده,زندگی خانوادگی,فارس,63.958061
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,فارس,51.166203
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,فارس,32.591724
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,فارس,19.187016
مد و فراغت,مصرف فرهنگی و رسانه‌ای,فارس,4.2960181
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,فارس,3.5774305
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,فارس,10.315165
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,فارس,32.933838
تعلق ملی,همبستگی و سرمایه اجتماعی,فارس,2.3655136
عدالت آموزشی,دانش و سرمایه انسانی,فارس,55.789368
فراگیری آموزش,دانش و سرمایه انسانی,فارس,35.24612
کیفیت آموزشی,دانش و سرمایه انسانی,فارس,23.147114
الگوی مصرف,معیشت و فرهنگ اقتصادی,فارس,1.3012125
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,فارس,19.152611
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,فارس,11.344102
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,فارس,1.7767524
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,فارس,29.050486
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,فارس,39.85957
حمایت اجتماعی,رفاه و عدالت اجتماعی,فارس,30.430864
زیرساخت آموزشی,رفاه و عدالت اجتماعی,فارس,48.934349
سلامت و بهداشت,رفاه و عدالت اجتماعی,فارس,44.981541
مسکن و سرپناه,رفاه و عدالت اجتماعی,فارس,25.838139
جرم و ناامنی,مسائل اجتماعی,فارس,23.8027
سلامت اجتماعی,مسائل اجتماعی,فارس,20.409241
سبک زندگی و مصرف,مسائل اجتماعی,فارس,17.184286
باورها و رفتارهای فرهنگی,مسائل اجتماعی,فارس,1.9791491
روابط و امنیت اجتماعی,مسائل اجتماعی,فارس,51.399361
باور دینی,معنویت و ارزش‌های دینی,قزوین,20.187504
عمل دینی,معنویت و ارزش‌های دینی,قزوین,20.553453
هویت و پیوند دینی,معنویت و ارزش‌های دینی,قزوین,15.337556
مشارکت مذهبی,معنویت و ارزش‌های دینی,قزوین,24.616245
سبک زندگی دینی,معنویت و ارزش‌های دینی,قزوین,13.745057
تشکیل خانواده,زندگی خانوادگی,قزوین,2.5754054
فرزندآوری,زندگی خانوادگی,قزوین,1.3444687
روابط خانوادگی,زندگی خانوادگی,قزوین,30.09676
پایداری خانواده,زندگی خانوادگی,قزوین,28.916897
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,قزوین,8.9235163
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,قزوین,18.608744
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,قزوین,1.5119154
مد و فراغت,مصرف فرهنگی و رسانه‌ای,قزوین,8.043252
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,قزوین,5.5783472
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,قزوین,.32337305
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,قزوین,28.970932
تعلق ملی,همبستگی و سرمایه اجتماعی,قزوین,21.959455
عدالت آموزشی,دانش و سرمایه انسانی,قزوین,13.407732
فراگیری آموزش,دانش و سرمایه انسانی,قزوین,61.511459
کیفیت آموزشی,دانش و سرمایه انسانی,قزوین,5.1333117
الگوی مصرف,معیشت و فرهنگ اقتصادی,قزوین,3.1927512
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,قزوین,32.19492
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,قزوین,38.919773
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,قزوین,13.760305
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,قزوین,39.559589
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,قزوین,20.187941
حمایت اجتماعی,رفاه و عدالت اجتماعی,قزوین,34.389599
زیرساخت آموزشی,رفاه و عدالت اجتماعی,قزوین,38.260193
سلامت و بهداشت,رفاه و عدالت اجتماعی,قزوین,16.277594
مسکن و سرپناه,رفاه و عدالت اجتماعی,قزوین,16.560835
جرم و ناامنی,مسائل اجتماعی,قزوین,11.866189
سلامت اجتماعی,مسائل اجتماعی,قزوین,27.084583
سبک زندگی و مصرف,مسائل اجتماعی,قزوین,1.7312224
باورها و رفتارهای فرهنگی,مسائل اجتماعی,قزوین,51.226414
روابط و امنیت اجتماعی,مسائل اجتماعی,قزوین,7.4046226
باور دینی,معنویت و ارزش‌های دینی,قم,28.074636
عمل دینی,معنویت و ارزش‌های دینی,قم,43.884647
هویت و پیوند دینی,معنویت و ارزش‌های دینی,قم,56.050686
مشارکت مذهبی,معنویت و ارزش‌های دینی,قم,48.488049
سبک زندگی دینی,معنویت و ارزش‌های دینی,قم,67.209686
تشکیل خانواده,زندگی خانوادگی,قم,57.915539
فرزندآوری,زندگی خانوادگی,قم,66.590942
روابط خانوادگی,زندگی خانوادگی,قم,15.114331
پایداری خانواده,زندگی خانوادگی,قم,.095594518
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,قم,18.616211
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,قم,6.8159776
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,قم,.33532491
مد و فراغت,مصرف فرهنگی و رسانه‌ای,قم,26.775509
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,قم,20.539795
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,قم,69.630089
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,قم,64.350227
تعلق ملی,همبستگی و سرمایه اجتماعی,قم,8.7350807
عدالت آموزشی,دانش و سرمایه انسانی,قم,50.26078
فراگیری آموزش,دانش و سرمایه انسانی,قم,14.466595
کیفیت آموزشی,دانش و سرمایه انسانی,قم,2.2318425
الگوی مصرف,معیشت و فرهنگ اقتصادی,قم,22.782974
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,قم,16.505976
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,قم,30.143747
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,قم,20.626801
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,قم,15.308586
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,قم,14.218718
حمایت اجتماعی,رفاه و عدالت اجتماعی,قم,1.1603146
زیرساخت آموزشی,رفاه و عدالت اجتماعی,قم,11.496716
سلامت و بهداشت,رفاه و عدالت اجتماعی,قم,5.0732207
مسکن و سرپناه,رفاه و عدالت اجتماعی,قم,32.700554
جرم و ناامنی,مسائل اجتماعی,قم,7.1537962
سلامت اجتماعی,مسائل اجتماعی,قم,11.478721
سبک زندگی و مصرف,مسائل اجتماعی,قم,32.585258
باورها و رفتارهای فرهنگی,مسائل اجتماعی,قم,10.863884
روابط و امنیت اجتماعی,مسائل اجتماعی,قم,10.353656
باور دینی,معنویت و ارزش‌های دینی,کردستان,14.126654
عمل دینی,معنویت و ارزش‌های دینی,کردستان,7.0731907
هویت و پیوند دینی,معنویت و ارزش‌های دینی,کردستان,1.7834574
مشارکت مذهبی,معنویت و ارزش‌های دینی,کردستان,1.2524706
سبک زندگی دینی,معنویت و ارزش‌های دینی,کردستان,2.8184474
تشکیل خانواده,زندگی خانوادگی,کردستان,40.713062
فرزندآوری,زندگی خانوادگی,کردستان,19.872362
روابط خانوادگی,زندگی خانوادگی,کردستان,.58397657
پایداری خانواده,زندگی خانوادگی,کردستان,2.6483951
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,کردستان,3.7397449
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,کردستان,28.743326
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,کردستان,.34835079
مد و فراغت,مصرف فرهنگی و رسانه‌ای,کردستان,2.959461
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,کردستان,2.3275692
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,کردستان,41.183899
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,کردستان,1.6967021
تعلق ملی,همبستگی و سرمایه اجتماعی,کردستان,1.8511642
عدالت آموزشی,دانش و سرمایه انسانی,کردستان,1.2887962
فراگیری آموزش,دانش و سرمایه انسانی,کردستان,9.4809971
کیفیت آموزشی,دانش و سرمایه انسانی,کردستان,64.329826
الگوی مصرف,معیشت و فرهنگ اقتصادی,کردستان,4.1919885
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,کردستان,4.8758459
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,کردستان,.43746951
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,کردستان,10.37349
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,کردستان,1.3941984
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,کردستان,48.877953
حمایت اجتماعی,رفاه و عدالت اجتماعی,کردستان,3.9991846
زیرساخت آموزشی,رفاه و عدالت اجتماعی,کردستان,21.40715
سلامت و بهداشت,رفاه و عدالت اجتماعی,کردستان,18.617357
مسکن و سرپناه,رفاه و عدالت اجتماعی,کردستان,18.80735
جرم و ناامنی,مسائل اجتماعی,کردستان,44.561672
سلامت اجتماعی,مسائل اجتماعی,کردستان,1.4146687
سبک زندگی و مصرف,مسائل اجتماعی,کردستان,9.6526155
باورها و رفتارهای فرهنگی,مسائل اجتماعی,کردستان,21.841284
روابط و امنیت اجتماعی,مسائل اجتماعی,کردستان,26.179583
باور دینی,معنویت و ارزش‌های دینی,کرمان,37.358063
عمل دینی,معنویت و ارزش‌های دینی,کرمان,26.578367
هویت و پیوند دینی,معنویت و ارزش‌های دینی,کرمان,29.887646
مشارکت مذهبی,معنویت و ارزش‌های دینی,کرمان,59.268925
سبک زندگی دینی,معنویت و ارزش‌های دینی,کرمان,14.512795
تشکیل خانواده,زندگی خانوادگی,کرمان,1.3731717
فرزندآوری,زندگی خانوادگی,کرمان,19.602409
روابط خانوادگی,زندگی خانوادگی,کرمان,17.557131
پایداری خانواده,زندگی خانوادگی,کرمان,5.5484624
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,کرمان,21.132483
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,کرمان,6.3322859
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,کرمان,7.8037004
مد و فراغت,مصرف فرهنگی و رسانه‌ای,کرمان,16.959501
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,کرمان,9.5641613
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,کرمان,50.606197
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,کرمان,.6703245
تعلق ملی,همبستگی و سرمایه اجتماعی,کرمان,27.813425
عدالت آموزشی,دانش و سرمایه انسانی,کرمان,1.8648423
فراگیری آموزش,دانش و سرمایه انسانی,کرمان,.34994757
کیفیت آموزشی,دانش و سرمایه انسانی,کرمان,12.281282
الگوی مصرف,معیشت و فرهنگ اقتصادی,کرمان,12.996088
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,کرمان,6.9514861
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,کرمان,27.720722
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,کرمان,16.662102
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,کرمان,76.511154
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,کرمان,7.0105276
حمایت اجتماعی,رفاه و عدالت اجتماعی,کرمان,1.5825757
زیرساخت آموزشی,رفاه و عدالت اجتماعی,کرمان,1.36713
سلامت و بهداشت,رفاه و عدالت اجتماعی,کرمان,.32529578
مسکن و سرپناه,رفاه و عدالت اجتماعی,کرمان,40.522747
جرم و ناامنی,مسائل اجتماعی,کرمان,2.575227
سلامت اجتماعی,مسائل اجتماعی,کرمان,6.8693318
سبک زندگی و مصرف,مسائل اجتماعی,کرمان,1.8220565
باورها و رفتارهای فرهنگی,مسائل اجتماعی,کرمان,18.644585
روابط و امنیت اجتماعی,مسائل اجتماعی,کرمان,44.128796
باور دینی,معنویت و ارزش‌های دینی,کرمانشاه,13.477031
عمل دینی,معنویت و ارزش‌های دینی,کرمانشاه,8.2717257
هویت و پیوند دینی,معنویت و ارزش‌های دینی,کرمانشاه,9.9674664
مشارکت مذهبی,معنویت و ارزش‌های دینی,کرمانشاه,15.730268
سبک زندگی دینی,معنویت و ارزش‌های دینی,کرمانشاه,11.330652
تشکیل خانواده,زندگی خانوادگی,کرمانشاه,13.108734
فرزندآوری,زندگی خانوادگی,کرمانشاه,2.9435875
روابط خانوادگی,زندگی خانوادگی,کرمانشاه,24.654366
پایداری خانواده,زندگی خانوادگی,کرمانشاه,4.7837291
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,کرمانشاه,32.314072
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,کرمانشاه,5.6390648
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,کرمانشاه,15.804368
مد و فراغت,مصرف فرهنگی و رسانه‌ای,کرمانشاه,8.065918
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,کرمانشاه,.3970418
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,کرمانشاه,11.575093
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,کرمانشاه,6.7818236
تعلق ملی,همبستگی و سرمایه اجتماعی,کرمانشاه,8.4338217
عدالت آموزشی,دانش و سرمایه انسانی,کرمانشاه,39.276131
فراگیری آموزش,دانش و سرمایه انسانی,کرمانشاه,5.8493242
